Incident Address Display,Borough,Community Board,Police Precinct,Status,Resolution Action
1017 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1017 CASTLEHILL AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1017 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,Open,Site downloaded for cleaning
1017 LEGGETT AVENUE,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1018 OGDEN AVENUE,BRONX,04 BRONX,Precinct 44,Open,Site downloaded for cleaning
1018 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,Open,Unspecified
1019 CORTELYOU ROAD,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1019 EAST 167 STREET,BRONX,03 BRONX,Precinct 42,Pending,Cleaning crew dispatched.  Property cleaned.
1019 IRVING AVENUE,BROOKLYN,Unspecified BROOKLYN,Unspecified,Open,Unspecified
1019 MACDONALD AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
102 2 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
102 BELMONT AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,Closed,Graffiti is intentional.
102 EAST 125 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched.  Property cleaned.
102 FRANKLIN STREET,MANHATTAN,01 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched.  Property cleaned.
102 INGRAHAM STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
102 WEST 124 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
102 WEST 29 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
102 WEST 37 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,Closed,Cleaning crew dispatched.  Property cleaned.
102 WEST 96 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
102-01 QUEENS BOULEVARD,QUEENS,06 QUEENS,Precinct 112,Closed,Cleaning crew dispatched.  Owner refused.
102-01 STRONG AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
102-02 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
102-02 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
102-02 LARUE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-02 REMINGTON STREET,QUEENS,12 QUEENS,Precinct 103,Closed,Cleaning crew dispatched.  Property cleaned.
102-03 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
102-03 STRONG AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-05 STRONG AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-07 67 DRIVE,QUEENS,06 QUEENS,Precinct 112,Closed,Cleaning crew dispatched.  Property cleaned.
102-07 STRONG AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-09 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
102-10 67 DRIVE,QUEENS,06 QUEENS,Precinct 112,Open,Unspecified
102-11 46 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-11 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
102-11 LARUE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-12 LARUE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-15 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
102-16 95 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
102-17 44 AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
102-18 43 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-19 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
102-20 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
102-20 LARUE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-21 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
102-22 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
102-23 LARUE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-24 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
102-28 43 AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
102-28 43 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-28 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
102-30 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
102-33 91 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
102-33 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
102-36 43 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
102-45 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
102-46 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
102-51 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
1020 EAST 92 STREET,BROOKLYN,18 BROOKLYN,Precinct 69,Closed,Cleaning crew dispatched.  Property cleaned.
1020 WARD AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1021 8 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,Closed,Cleaning crew dispatched.  Property cleaned.
1021 BRUCKNER BOULEVARD,BRONX,02 BRONX,Precinct 41,Open,Unspecified
1021 MACDONALD AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1021 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,Pending,Cleaning crew dispatched.  Property cleaned.
1021 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,Open,Site downloaded for cleaning
10219 SEAVIEW AVENUE,BROOKLYN,18 BROOKLYN,Precinct 69,Closed,Cleaning crew dispatched.  Property cleaned.
1022 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
1023 OGDEN AVENUE,BRONX,04 BRONX,Precinct 44,Closed,Cleaning crew dispatched.  Property cleaned.
1023 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,Open,Unspecified
1024 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
1024 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,Open,Unspecified
1025 BOYNTON AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Graffiti is intentional.
1025 SENECA AVENUE,QUEENS,05 QUEENS,Precinct 104,Open,Site downloaded for cleaning
1025A CLOSE AVENUE,BRONX,09 BRONX,Precinct 43,Open,Unspecified
1026 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
1027 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1028 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,Closed,Cleaning crew dispatched.  Property cleaned.
1028 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Site downloaded for cleaning
1029 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1029 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1029 EAST 167 STREET,BRONX,03 BRONX,Precinct 42,Pending,Cleaning crew dispatched.  Property cleaned.
103 DITMAS AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
103 EAST 2 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
103 MAIN STREET,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
103 MOSCO STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
103 NORTH 12 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
103 NORTH 13 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
103 WEST 106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,Closed,Cleaning crew dispatched.  Property cleaned.
103 WEST 141 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
103-01 ASTORIA BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Open,Unspecified
103-01 BELLAIRE PLACE,QUEENS,Unspecified QUEENS,Unspecified,Open,Unspecified
103-02 118 STREET,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
103-02 37 AVENUE,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
103-02 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
103-02 HEMPSTEAD AVENUE,QUEENS,Unspecified QUEENS,Unspecified,Open,Unspecified
103-02 SPRINGFIELD BOULEVARD,QUEENS,13 QUEENS,Precinct 105,Open,Site downloaded for cleaning
103-03 221 STREET,QUEENS,13 QUEENS,Precinct 105,Closed,Cleaning crew dispatched.  Property cleaned.
103-03 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
103-07 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
103-08 52 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
103-08 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
103-10 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
103-11 ALSTYNE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
103-11 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
103-12 51 AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
103-12 53 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Unspecified
103-12 ASTORIA BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Open,Unspecified
103-12 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
103-18 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Unspecified
103-19 ALSTYNE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Unspecified
103-19 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
103-20 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
103-20 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
103-21 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
103-23 ALSTYNE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
103-25 ALSTYNE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
103-26 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
103-27 51 AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
103-30 51 AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
103-39 QUEENS BOULEVARD,QUEENS,06 QUEENS,Precinct 112,Open,Site downloaded for cleaning
1030 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,Open,Site to be cleaned.
1030 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1030 CASTLEHILL AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site to be cleaned.
1030 SENECA AVENUE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
1030 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,Open,Site downloaded for cleaning
1031 EAST 92 STREET,BROOKLYN,18 BROOKLYN,Precinct 69,Closed,Cleaning crew dispatched.  Property cleaned.
1031 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
1032 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
10323 GLENWOOD ROAD,BROOKLYN,18 BROOKLYN,Precinct 69,Closed,Cleaning crew dispatched.  Cannot locate property.
1033 LOWELL STREET,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1033 ST NICHOLAS AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
1035 CLOSE AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1035 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1036 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
1036 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,Open,Site downloaded for cleaning
1037 EAST 92 STREET,BROOKLYN,18 BROOKLYN,Precinct 69,Closed,Cleaning crew dispatched.  Property cleaned.
1037 ZEREGA AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1038 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
1038 FLUSHING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1038 ROGERS PLACE,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1038 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,Open,Unspecified
1038 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,Open,Unspecified
104 2 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
104 AVENUE I,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
104 EAST 126 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched.  Property cleaned.
104 FORSYTH STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
104 FORSYTH STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched. No graffiti on property.
104 FORSYTHE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
104 KINGSTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Site downloaded for cleaning
104 MOSCO STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
104 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
104 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
104 VERMILYEA AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
104 WEST 147 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched. No graffiti on property.
104 WEST 190 STREET,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
104 WEST 27 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,Open,Site downloaded for cleaning
104 WEST 83 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,Closed,Cleaning crew dispatched.  Property cleaned.
104 WEST 96 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,Closed,Cleaning crew dispatched.  Property cleaned.
104-01 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,Open,Site downloaded for cleaning
104-01 210 STREET,QUEENS,13 QUEENS,Precinct 105,Open,Site downloaded for cleaning
104-01 FRANCIS LEWIS BOULEVARD,QUEENS,13 QUEENS,Precinct 105,Closed,Cleaning crew dispatched.  Property cleaned.
104-01 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
104-02 ROOSEVELT AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Unspecified
104-04 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
104-05 49 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
104-05 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
104-06 113 STREET,QUEENS,10 QUEENS,Precinct 106,Open,Site downloaded for cleaning
104-06 39 AVENUE,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-06 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
104-06 ROOSEVELT AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-07 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
104-08 39 AVENUE,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-09 53 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-09 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
104-10 39 AVENUE,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-10 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
104-14 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
104-14 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
104-16 49 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
104-16 OTIS AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
104-16 OTIS AVENUE,QUEENS,Unspecified QUEENS,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
104-17 44 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Unspecified
104-17 47 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
104-17 47 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
104-17 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-19 49 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
104-19 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
104-19 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-20 43 AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
104-20 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 103,Open,Site downloaded for cleaning
104-20 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-21 43 AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
104-21 ROOSEVELT AVENUE,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
104-24 90 AVENUE,QUEENS,09 QUEENS,Precinct 102,Open,Site downloaded for cleaning
104-27 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
104-30 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Unspecified
104-33 37 ROAD,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-33 39 AVENUE,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-34 39 AVENUE,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-35 37 ROAD,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-37 37 ROAD,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-38 37 ROAD,QUEENS,03 QUEENS,Precinct 115,Open,Mail returned / wrong address
104-38 47 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
104-38 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
104-41 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,Open,Site downloaded for cleaning
104-41 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,Open,Site downloaded for cleaning
104-42 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
104-46 48 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
104-50 43 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-52 43 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-67 214 STREET,QUEENS,13 QUEENS,Precinct 105,Closed,Cleaning crew dispatched.  Property cleaned.
104-69 214 STREET,QUEENS,13 QUEENS,Precinct 105,Open,Site downloaded for cleaning
104-69 43 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
104-70 47 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
104-74 48 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Unspecified
104-74 48 AVENUE,QUEENS,04 QUEENS,Precinct 110,Open,Unspecified
104-79 48 AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
1040 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
1040 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
1040 CARROLL STREET,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
1040 GLENMORE AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
1040 HAVEMEYER AVENUE,BRONX,09 BRONX,Precinct 43,Open,Unspecified
1040 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
10403 GLENWOOD ROAD,BROOKLYN,18 BROOKLYN,Precinct 69,Closed,Cleaning crew dispatched.  Property cleaned.
